1328,0,0,250,0,0,0,0,0,37,0,33,0,1599,1355,1084,0,0,21,0,212,746,0,0,6665,19.9249812453113,low acc,'ADMINISTER MEDICATION'
0,28698,0,1,0,0,0,0,0,0,0,0,482,0,0,0,27,19,0,0,1531,0,0,0,30758,93.3025554327329,high acc,'BAGGING'
0,0,1930,160,0,0,0,0,0,14,15,1056,0,740,40,0,26,0,53,0,2868,158,1220,0,8280,23.3091787439614,,'BLOOD-PRESSURE CUFF'
0,0,0,4340,39,0,0,0,0,314,0,570,0,0,0,0,0,0,0,0,2985,1352,0,0,9600,45.2083333333333,,'CHEST-TUBE'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data in testing,,'CHEST-TUBE PREP'
0,0,0,0,0,2944,0,0,0,2,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,4348,67.7092916283349,,'COMBAT GAUZE'
0,0,0,0,0,0,3350,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,3417,98.0392156862745,high acc,'COMBAT TOURNIQUET'
0,0,0,0,0,0,394,170,0,0,0,0,1433,0,0,0,22,3,0,0,2,0,0,0,2024,8.39920948616601,low acc,'CPR (BREATH)'
0,0,0,2,0,0,1077,4072,4,0,0,1,2792,1,126,0,59,387,0,0,0,0,0,0,8521,0.046942847083676,low acc,'CPR (COMPRESSION)'
913,0,7,396,0,0,0,0,0,1105,0,1092,0,848,345,297,0,0,14,0,404,865,0,0,6286,17.5787464206172,low acc,'DRAW MEDICATION'
0,0,595,1,0,0,0,0,0,10,4259,0,0,47,129,0,0,0,789,0,24,1,3204,0,9059,47.014019207418,,'ECG LEADS'
0,0,18,645,21,0,0,0,0,430,0,882,0,75,0,0,0,0,0,0,601,580,0,0,3252,27.1217712177122,,'IM ADMINISTRATION'
0,907,0,0,0,0,1348,0,0,0,0,0,832,0,0,0,449,421,0,0,0,5,0,0,3962,20.9994952044422,,'INTUBATION'
609,0,0,0,0,0,0,0,0,102,0,0,0,7545,2,0,0,0,15,0,4,529,1,0,8807,85.670489383445,high acc,'IO LINE'
27,0,2,629,0,0,0,0,0,1,0,208,0,0,8686,5060,0,0,0,0,1076,2577,1,0,18267,47.5502271856353,,'IV LINE'
65,0,0,463,0,0,0,0,0,0,0,0,0,0,889,1122,0,0,0,0,191,533,0,0,3263,34.3855347839412,,'IV TOURNIQUET'
0,316,2,5,0,0,0,0,0,0,0,0,459,0,0,0,1718,116,0,0,0,0,1,0,2617,65.6476881925869,,'KING AIRWAY'
0,59,367,0,0,0,0,0,0,0,0,0,800,0,1,0,353,317,3,0,46,0,0,0,1946,16.289825282631,low acc,'ORAL AIRWAY'
0,0,150,6,0,0,0,0,0,11,39,0,0,5,0,0,0,0,579,0,41,0,219,0,1050,55.1428571428571,,'PULSE-OX'
0,0,0,0,0,228,7,0,0,3,0,15,0,9,0,0,0,0,0,6687,1,3,0,0,6953,96.1743132460808,high acc,'SPLINTING'
0,0,3,3503,7,0,0,0,0,51,1,62,1,0,0,0,1,0,1,0,8488,49,0,0,12167,69.7624722610339,,'SUTURING'
199,0,14,902,0,0,0,0,0,1069,0,1348,0,1295,1009,2879,0,0,9,0,317,2476,0,0,11517,21.4986541634106,,'SWAB AREA WITH ALCOHOL'
0,0,7,0,0,0,0,0,0,0,1208,0,0,159,0,0,0,0,946,0,0,0,2408,0,4728,50.9306260575296,,'VITAL CHECKING'
0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,3,0,0,0,1,3493,4417,79.080824088748,,'WRAP HEAD WOUND'
,,,,,,,,,,,,,,,,,,,,,,,,total,categorical acc,,categorical name
,,,,,,,,,,,,,,,,,,,,,,,,,47.4255327061429,,avg detection acc over category
